ID,ADRESA,LON_D,LAT_D,RBR,ADRESA_SLIKE,MESTO_ID,STUB_TIP_ID,STATUS_ID
42,,19.640456861111111,45.572711666666667,1446,http://img41.imageshack.us/img41/3166/img0002xj.jpg,1,3,1
61,,19.64093509,45.57313314,1442,,1,3,1
65,,19.64206727,45.5733685,365,,1,3,1
66,,19.64244207,45.57315348,363,,1,3,1
174,,19.68808532,45.50647748,16,,21,2,1
171,,19.68784523,45.50748047,13,,21,2,1
175,,19.68816963,45.5061204,17,,21,2,1
176,,19.68823291,45.50585307,18,,21,2,1
178,,19.68825911,45.50525381,20,,21,2,1
186,,19.68842031,45.50603807,90,,21,2,1
187,,19.6883422,45.50636003,91,,21,2,1
188,,19.68825297,45.50671948,92,,21,2,1
189,,19.68816826,45.50707187,93,,21,2,1
193,,19.68785431,45.50838445,97,,21,4,1
200,,19.68275864,45.50510405,335,,21,2,1
206,,19.68596094,45.50536787,341,,21,2,1
207,,19.68651277,45.50541632,342,,21,4,1
209,,19.68736777,45.50548113,344,,21,2,1
217,,19.68851274,45.50373826,25,,21,2,1
218,,19.688567,45.50341305,26,,21,2,1
219,,19.68861661,45.50308959,27,,21,2,1
226,,19.68879183,45.50475269,85,,21,2,1
228,,19.68656454,45.49836924,237,,21,2,1
231,,19.6864126,45.49930143,240,,21,2,1
236,,19.686181,45.500743,245,,21,2,1
240,,19.68599176,45.50192536,249,,21,2,1
244,,19.68580092,45.50310456,253,,21,2,1
247,,19.6856616,45.50397175,256,,21,2,1
249,,19.68557053,45.5045421,258,,21,2,1
253,,19.68286367,45.50372806,265,,21,2,1
254,,19.68290962,45.50344766,266,,21,2,1
255,,19.68296038,45.50313115,267,,21,2,1
264,,19.68338292,45.50050139,276,,21,2,1
269,,19.6816869,45.50079452,319,,21,2,1
280,,19.68107037,45.50458795,330,,21,2,1
285,,19.68359966,45.50466985,389,,21,2,1
286,,19.68312849,45.50463104,390,,21,2,1
290,,19.68347432,45.50233379,394,,21,2,1
293,,19.68525207,45.50248924,398,,21,2,1
297,,19.68720392,45.50265323,401,,21,2,1
298,,19.68764149,45.50268885,402,,21,2,1
301,,19.68547527,45.50007377,428,,21,2,1
303,,19.68468872,45.5000074,430,,21,2,1
304,,19.68429091,45.49997411,431,,21,2,1
334,,19.69676671,45.50052457,187,,21,2,1
336,,19.68476866,45.45778979,24,,22,2,1
338,,19.68515976,45.45773059,25,,22,2,1
339,,19.69691941,45.49955737,190,,21,2,1
344,,19.68640103,45.45754403,28,,22,2,1
345,,19.68680034,45.45748339,29,,22,2,1
346,,19.69786014,45.49577719,207,,21,4,1
349,,19.6977622,45.49626838,209,,21,2,1
359,,19.69736894,45.49831371,216,,21,2,1
360,,19.69731267,45.4986173,217,,21,2,1
364,,19.69714803,45.49986439,221,,21,2,1
365,,19.69710979,45.50016288,222,,21,2,1
368,,19.69704545,45.50095544,225,,21,4,1
378,,19.68921243,45.45711456,36,,22,5,1
376,,19.68859321,45.45721911,34,,22,2,1
381,,19.69034108,45.45691479,39,,22,5,1
386,,19.68689149,45.45597594,94,,22,2,1
387,,19.68644137,45.45603906,95,,22,2,1
417,,19.68830121,45.45820414,202,,22,2,1
1087,,19.68906471,45.44896164,460,,22,5,1
412,,19.68728506,45.45796813,197,,22,2,1
419,,19.68854191,45.45853175,203,,22,5,1
424,,19.6869825,45.49574607,229,,21,2,1
428,,19.68688713,45.49634805,231,,21,2,1
436,,19.68254883,45.49410645,297,,21,2,1
437,,19.69176036,45.45883603,210,,22,4,1
438,,19.68249487,45.4944286,298,,21,4,1
439,,19.68463169,45.49523059,497,,21,2,1
440,,19.68508903,45.49526645,498,,21,2,1
441,,19.68559527,45.49530692,499,,21,2,1
452,,19.68935388,45.45774724,216,,22,2,1
459,,19.6834069,45.45500779,309,,22,2,1
