ID,STUB_ID,SVETILJKA_TIP_ID,KOM
82,62,1,1
85,65,1,1
168,171,61,1
171,174,62,1
172,176,61,1
173,177,61,1
179,196,62,1
183,202,24,1
184,203,24,1
190,213,61,1
208,254,24,1
202,246,24,1
205,250,61,1
213,264,24,1
218,272,24,1
219,273,1,1
224,281,61,1
225,282,24,1
230,292,62,1
245,327,24,1
252,336,24,1
254,339,24,1
261,348,62,1
263,352,24,1
264,354,61,1
266,361,24,1
268,369,24,1
270,376,24,1
273,379,24,1
277,385,24,1
285,395,24,1
286,396,24,1
658,1075,24,1
293,407,24,1
294,408,24,1
298,419,24,1
300,423,24,1
302,428,121,1
307,436,121,1
312,444,24,1
320,458,62,1
323,463,24,1
331,474,24,1
332,475,24,1
341,492,62,1
345,500,61,1
346,503,24,1
347,504,24,1
350,509,61,1
352,512,24,1
359,525,24,1
367,537,24,1
372,526,24,1
374,546,24,1
377,553,24,1
383,566,24,1
384,568,24,1
387,572,24,1
388,573,24,1
391,579,24,1
397,588,61,2
403,600,24,1
404,601,24,1
410,613,62,1
413,619,24,1
415,626,24,1
418,631,24,1
421,639,62,1
431,661,24,1
433,665,24,1
441,682,82,1
444,683,61,1
446,685,24,1
453,698,24,1
456,706,61,1
457,707,62,1
465,719,24,1
467,722,24,1
473,728,24,1
476,733,24,1
478,737,24,1
485,749,24,3
490,754,24,2
492,758,24,3
1093,1789,24,1
496,771,24,1
501,776,24,1
502,778,24,1
503,780,24,1
505,784,24,1
508,792,24,3
509,793,81,1
510,795,24,1
512,799,24,1
513,801,24,1
515,804,62,1
520,815,24,1
522,818,24,1
523,820,24,1
527,825,24,1
528,826,24,1
531,829,24,1
532,833,24,1
534,835,24,1
536,837,24,1
537,838,24,1
547,863,24,1
542,851,24,1
544,855,62,1
554,877,24,1
556,881,62,1
557,883,62,1
558,884,62,1
560,887,24,1
562,890,24,1
563,891,24,1
564,893,24,1
565,895,24,1
570,901,24,1
575,908,61,1
576,910,24,1
578,917,62,1
579,918,24,1
580,919,24,1
581,921,24,1
582,923,24,1
583,924,61,1
585,930,24,1
586,933,24,1
589,939,24,1
590,942,24,1
596,953,24,1
599,963,24,1
600,964,24,1
601,970,24,1
602,972,81,1
603,971,24,1
605,973,24,1
608,979,24,1
610,984,24,1
611,986,24,1
612,987,24,1
615,990,24,1
620,1003,24,1
622,1009,24,1
624,1014,24,1
625,1016,24,1
626,1017,24,1
627,1018,24,1
628,1020,24,1
631,1026,24,1
632,1028,24,1
636,1038,24,1
1091,1329,24,1
638,1041,61,1
640,1043,24,1
641,1044,24,1
642,1045,24,1
643,1046,24,1
644,1049,61,1
645,1051,24,1
646,1054,24,1
647,1056,24,1
648,1057,24,1
649,1059,24,1
651,1066,24,1
654,359,101,1
656,1072,24,1
657,1074,24,1
659,1076,24,1
662,1084,24,1
663,1087,24,1
665,1090,24,1
667,1092,24,1
669,1094,24,1
671,1097,24,1
675,1105,24,1
682,1117,24,1
680,1114,24,1
684,1121,61,1
686,1125,24,1
688,1127,24,1
691,1130,24,1
692,1131,24,1
693,1134,24,2
695,1136,24,1
696,1139,24,1
699,1143,24,1
700,1144,24,1
701,1146,24,1
702,1147,24,1
703,1150,24,1
704,1149,24,1
705,1152,24,1
706,1153,24,1
707,1154,24,1
710,1157,24,1
713,1161,24,1
714,1162,24,1
719,1172,62,1
723,1180,81,1
724,1181,24,1
725,1183,61,1
727,1185,24,1
729,1187,24,1
732,1192,24,1
733,1193,24,1
735,1195,24,1
738,1200,24,1
740,1203,24,1
742,1207,24,1
743,1210,24,1
745,1212,24,1
746,1215,24,1
748,1219,24,1
749,1220,24,1
752,1224,24,1
754,1227,24,1
763,1240,24,1
765,1242,24,1
766,1243,24,1
770,1247,24,1
773,1250,24,1
774,1251,61,1
781,1259,24,1
783,1262,61,1
785,1267,24,1
787,1269,61,1
789,1271,24,1
791,1275,61,1
793,1280,24,1
797,1291,24,1
810,1307,62,1
801,1295,24,1
815,1317,24,1
803,1297,61,1
804,1293,24,1
824,1330,104,1
833,1345,24,1
837,1357,24,1
840,1364,24,1
845,1373,24,1
848,1378,24,1
853,1384,24,1
857,1390,24,1
858,1392,24,1
866,1401,24,1
875,1413,24,1
876,1414,24,1
878,1417,24,1
891,1448,24,1
894,1454,24,1
900,1464,24,1
904,1473,24,1
905,1475,24,1
909,1483,24,1
912,1489,24,1
927,1515,24,1
929,1518,24,1
932,1524,24,1
933,1526,24,1
934,1527,24,1
941,1537,24,1
945,1542,24,1
947,1545,24,1
952,1554,24,1
953,1556,24,1
956,1561,24,1
963,1575,24,1
964,1576,24,1
971,1583,24,1
982,1602,61,1
991,1615,24,1
993,1619,24,1
1001,1627,24,1
1003,1629,24,1
1014,1647,24,1
1016,1651,24,1
1017,1652,24,1
1026,1663,24,1
1027,1664,24,1
1030,1670,24,1
1036,1679,24,1
1040,1687,24,1
1041,1689,24,1
1046,1704,24,1
1049,1710,24,1
1052,1719,24,1
1055,1724,24,1
1056,1726,24,1
1057,1730,24,1
1058,1732,24,1
1060,1734,24,1
1075,1760,61,1
1082,1770,24,1
1084,1773,24,1
1087,1040,24,1
1098,1819,24,1
1100,1781,24,1
1103,1788,61,1
1107,1797,24,1
1108,1828,24,1
1114,1809,81,1
1117,1816,24,1
1120,1823,24,1
1127,1844,24,1
1128,1848,24,1
1130,1847,24,1
1132,1860,24,1
1139,1868,24,1
1143,1870,24,1
1151,1880,24,1
1152,1878,24,1
1153,1877,24,1
1154,1885,24,1
1155,1886,24,1
1157,1888,24,1
1158,1894,62,1
1160,1892,24,1
1162,1893,24,1
1163,1895,24,1
1166,1909,24,1
1167,1908,24,1
1168,1906,24,1
1170,1903,24,1
1172,1912,24,1
1174,1916,24,1
1175,1919,24,1
1176,1921,24,1
1178,1923,24,1
1179,1924,24,1
1180,1926,24,1
1181,1928,24,1
1182,1930,24,1
1183,1931,24,1
1184,1932,24,1
1185,1933,24,1
1186,1934,24,1
1187,1935,24,1
1188,1936,24,1
1189,1569,105,1
1191,1436,24,1
1192,1437,24,1
1193,1940,24,1
1194,1941,24,1
1195,1942,24,1
1196,1944,24,1
1198,1946,24,1
1199,1948,61,1
1202,1951,24,1
1203,1952,24,1
1204,1953,24,1
1205,1954,24,1
1207,1958,24,1
1208,1960,24,1
1209,1961,24,1
1211,1963,24,1
1212,1968,24,1
1213,1969,24,1
1215,1972,24,1
1217,1974,24,1
1219,1977,24,1
1220,1980,24,1
1221,1981,24,1
1222,1982,24,1
1223,1983,24,1
1224,1985,24,1
1225,1987,24,1
1226,1988,24,1
1227,1989,62,1
1231,1995,24,1
1232,1996,24,1
1234,2000,62,1
1235,2001,24,1
1237,2003,24,1
1238,2004,24,1
1240,2007,24,1
1241,2008,24,1
1242,2010,24,1
1243,2012,24,1
1247,2022,24,1
1249,2024,24,1
81,61,1,1
62,42,1,1
64,44,41,1
96,76,1,1
98,78,1,1
101,81,1,1
103,83,1,1
109,89,41,1
111,91,41,1
112,92,41,1
115,95,41,1
174,179,81,1
176,184,61,1
178,194,61,1
181,198,24,1
243,324,62,1
244,326,24,1
203,248,24,1
209,256,24,1
210,258,62,1
215,268,24,1
222,277,24,1
226,284,24,1
232,298,24,1
239,310,24,1
240,312,24,1
241,321,61,1
246,328,24,1
278,386,24,1
250,332,24,1
256,343,24,1
259,345,24,1
281,390,24,1
279,387,24,1
284,394,24,1
292,406,24,2
295,410,24,1
304,427,24,1
308,437,24,1
315,449,24,1
317,454,24,1
321,459,24,1
325,466,121,2
336,479,24,1
342,494,24,1
343,495,24,1
344,497,24,1
349,507,24,1
355,519,24,1
365,534,24,1
369,540,24,1
370,541,24,1
381,562,61,1
392,581,24,1
393,583,24,1
394,585,24,1
398,589,61,2
399,590,81,1
400,593,24,1
401,596,24,1
406,605,24,1
416,628,24,1
425,647,62,1
430,660,24,1
434,667,24,1
436,671,24,1
451,693,24,1
439,679,62,1
442,680,24,1
443,678,24,1
447,687,24,1
448,689,24,1
493,761,24,1
495,767,24,1
497,772,24,1
500,775,24,1
506,787,61,1
507,790,24,1
514,803,24,1
517,808,24,1
518,810,24,1
519,812,24,1
521,816,24,1
524,822,24,1
530,828,24,1
539,845,24,1
545,856,81,1
546,861,24,1
548,864,24,1
549,868,24,1
550,870,24,1
552,873,24,1
561,888,61,1
566,894,24,1
571,902,24,1
574,907,62,1
588,936,24,2
595,952,24,1
598,960,24,1
606,976,24,1
614,871,61,1
618,998,24,1
630,1023,24,1
635,1036,24,1
1094,1798,24,1
655,1071,24,1
660,1080,24,1
672,1098,62,1
676,1107,24,1
677,1110,24,1
685,1124,24,1
690,1129,24,1
698,1142,61,1
708,1155,24,1
709,1156,24,1
711,1159,24,1
712,1160,24,1
721,1177,24,1
722,1179,24,1
728,1186,24,1
744,1211,24,1
739,1202,24,1
741,1205,24,1
747,1216,24,1
751,1222,24,1
753,1226,24,1
760,1236,24,1
761,1239,24,1
768,1245,24,1
782,1260,61,1
784,1261,24,1
813,1311,24,1
805,1298,24,1
806,1300,24,1
814,1313,24,1
817,1319,24,1
820,1325,24,1
821,1320,24,1
822,1328,24,1
1095,1807,24,1
825,1332,24,1
827,1335,24,1
828,1337,24,1
831,1342,24,1
832,1343,61,1
839,1362,24,1
842,1369,24,1
846,1374,24,1
851,1381,24,1
855,1387,24,1
859,1393,24,1
860,1394,24,1
867,1402,24,1
868,1403,24,1
872,1409,24,1
877,1416,24,1
886,1439,24,1
887,1440,24,1
889,1444,24,1
896,1457,24,1
901,1466,24,1
903,1472,61,2
915,1496,24,1
922,1510,61,1
