ID,NAZIV,IZVOR,SNAGA
1,Natrijum visokog pritiska (150),natrijum,150
23,Natrijum visokog pritiska (70),Natrijum,70
24,Živina svetiljka (125),Živa,125
41,Natrijum visokog pritiska (100),Natrijum,100
61,Živina svetiljka (250),Živa,250
62,Živina svetiljka (400),Živa,400
81,Natrijum visokog pritiska (250),natrijum,250
82,Natrijum visokog pritiska (400),Natrijum,400
83,Metal-halogen (400),metal-halogen,400
101,Metal-halogen (150),metal-halogen,150
102,Metal-halogen (125),metal-halogen,125
103,Metal-halogen (70),metal-halogen,70
104,Metal-halogen (250),metal-halogen,250
105,Sijalica sa uzarenom niti (200),wolfram,200
121,LED svetiljka (27W),LED,27
